Particulars,Premium_Current_Month,Premium_Current_YTD,Premium_Previous_Month,Premium_Previous_YTD,Premium_YTD_Variation_Percent,Policies_Current_Month,Policies_Current_YTD,Policies_Previous_Month,Policies_Previous_YTD,Policies_YTD_Variation_Percent,Source_File,Date,Company,Company_Type,Premium_Variation_Zero_Base,Policy_Variation_Zero_Base
Group Yearly Renewable Premium,30.81,155.13,7.19,67.67,129.25,6,173,9,419,-58.71,DetailedReportofNB (1).xls,2022-02-01,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,445.05,4655.22,360.37,3851.17,20.88,18368,189869,20673,221346,-14.22,DetailedReportofNB (1).xls,2022-02-01,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,20.96,241.55,22.13,211.17,14.39,432,4494,523,5508,-18.41,DetailedReportofNB (1).xls,2022-02-01,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,28.72,302.96,32.7,215.6,40.52,3217,32789,4180,29876,9.75,DetailedReportofNB (1).xls,2022-02-01,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,17.99,137.82,17.75,104.03,32.48,0,1,0,0,0.0,DetailedReportofNB (1).xls,2022-02-01,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Private,0,1
Group Non Single Premium,0.0,0.03,0.0,0.05,-36.25,0,2,0,5,-60.0,DetailedReportofNB (1).xls,2022-02-01,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (1).xls,2022-02-01,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,67.67,682.37,72.58,530.85,28.54,3649,37286,4703,35389,5.36,DetailedReportofNB (1).xls,2022-02-01,AGEAS FEDERAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,3.2,12.7,1.36,10.94,16.08,27,111,156,454,-75.55,DetailedReportofNB (1).xls,2022-02-01,AVIVA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,17.22,142.81,23.26,115.0,24.19,1915,17253,2819,17069,1.08,DetailedReportofNB (1).xls,2022-02-01,AVIVA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,0.44,4.61,1.23,2.21,108.12,0,1,0,0,0.0,DetailedReportofNB (1).xls,2022-02-01,AVIVA LIFE INSURANCE COMPANY LIMITED,Private,0,1
Group Non Single Premium,0.15,1.13,0.28,1.34,-15.71,0,0,0,0,0.0,DetailedReportofNB (1).xls,2022-02-01,AVIVA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,4.72,68.2,3.13,49.23,38.53,1,73,8,122,-40.16,DetailedReportofNB (1).xls,2022-02-01,AVIVA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,25.73,229.45,29.27,178.72,28.38,1943,17438,2983,17645,-1.17,DetailedReportofNB (1).xls,2022-02-01,AVIVA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,186.63,1485.85,127.22,1275.66,16.48,679,5999,471,4809,24.75,DetailedReportofNB (1).xls,2022-02-01,AXIS MAX LIFE INSURANCE LIMITED,Private,0,0
Individual Non Single Premium,443.31,4332.37,535.91,3881.82,11.61,55812,509026,58773,541814,-6.05,DetailedReportofNB (1).xls,2022-02-01,AXIS MAX LIFE INSURANCE LIMITED,Private,0,0
Group Single Premium,62.76,645.81,67.5,382.27,68.94,13,38,0,17,123.53,DetailedReportofNB (1).xls,2022-02-01,AXIS MAX LIFE INSURANCE LIMITED,Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (1).xls,2022-02-01,AXIS MAX LIFE INSURANCE LIMITED,Private,0,0
Group Yearly Renewable Premium,2.65,46.72,1.17,73.94,-36.82,3,33,-2,391,-91.56,DetailedReportofNB (1).xls,2022-02-01,AXIS MAX LIFE INSURANCE LIMITED,Private,0,0
Total,695.35,6510.75,731.8,5613.69,15.98,56507,515096,59242,547031,-5.84,DetailedReportofNB (1).xls,2022-02-01,AXIS MAX LIFE INSURANCE LIMITED,Private,0,0
Individual Single Premium,35.24,241.86,7.07,45.07,436.65,445,3467,123,869,298.96,DetailedReportofNB (1).xls,2022-02-01,BAJAJ LIFE INSURANCE LIMITED,Private,0,0
Individual Non Single Premium,346.32,2993.22,267.24,1983.33,50.92,45002,395783,39374,364438,8.6,DetailedReportofNB (1).xls,2022-02-01,BAJAJ LIFE INSURANCE LIMITED,Private,0,0
Group Single Premium,406.83,3805.1,405.37,2825.36,34.68,5,72,1,55,30.91,DetailedReportofNB (1).xls,2022-02-01,BAJAJ LIFE INSURANCE LIMITED,Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0.0,DetailedReportofNB (1).xls,2022-02-01,BAJAJ LIFE INSURANCE LIMITED,Private,0,0
Group Yearly Renewable Premium,91.15,423.46,13.19,167.51,152.79,10,115,25,130,-11.54,DetailedReportofNB (1).xls,2022-02-01,BAJAJ LIFE INSURANCE LIMITED,Private,0,0
Total,879.54,7463.64,692.86,5021.27,48.64,45462,399437,39523,365492,9.29,DetailedReportofNB (1).xls,2022-02-01,BAJAJ LIFE INSURANCE LIMITED,Private,0,0
Individual Single Premium,0.0,0.4,0.05,0.57,-30.22,0,1809,3,25,7136.0,DetailedReportofNB (1).xls,2022-02-01,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Private,0,0
Individual Non Single Premium,0.32,9.85,1.21,32.79,-69.97,242,6905,794,13486,-48.8,DetailedReportofNB (1).xls,2022-02-01,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Private,0,0
Group Single Premium,0.0,0.0,0.0,5.23,-100.0,0,0,0,0,0.0,DetailedReportofNB (1).xls,2022-02-01,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (1).xls,2022-02-01,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Private,0,0
Group Yearly Renewable Premium,0.1,6.19,1.58,20.04,-69.09,0,17,10,85,-80.0,DetailedReportofNB (1).xls,2022-02-01,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Private,0,0
Total,0.43,16.44,2.85,58.63,-71.96,242,8731,807,13596,-35.78,DetailedReportofNB (1).xls,2022-02-01,BANDHAN LIFE INSURANCE LIMITED (FORMERLY AEGON LIFE INSURANCE COMPANY LIMITED),Private,0,0
Individual Single Premium,2.49,47.7,2.94,80.27,-40.58,42,403,45,2813,-85.67,DetailedReportofNB (1).xls,2022-02-01,BHARTI AXA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,60.52,577.14,55.89,455.45,26.72,11020,100499,10103,93306,7.71,DetailedReportofNB (1).xls,2022-02-01,BHARTI AXA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,14.04,142.75,17.24,113.62,25.64,1,15,4,15,0.0,DetailedReportofNB (1).xls,2022-02-01,BHARTI AXA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (1).xls,2022-02-01,BHARTI AXA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,2.06,6.37,0.14,2.63,141.84,0,4,0,3,33.33,DetailedReportofNB (1).xls,2022-02-01,BHARTI AXA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,79.11,773.95,76.21,651.98,18.71,11063,100921,10152,96137,4.98,DetailedReportofNB (1).xls,2022-02-01,BHARTI AXA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,34.49,360.31,23.67,386.46,-6.77,255,2969,198,3330,-10.84,DetailedReportofNB (1).xls,2022-02-01,CANARA HSBC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,144.25,1074.79,132.08,772.55,39.12,18641,145190,17970,148101,-1.97,DetailedReportofNB (1).xls,2022-02-01,CANARA HSBC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,118.41,858.44,28.17,628.01,36.69,0,6,2,11,-45.45,DetailedReportofNB (1).xls,2022-02-01,CANARA HSBC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.09,1.57,0.45,3.28,-52.2,0,2,0,2,0.0,DetailedReportofNB (1).xls,2022-02-01,CANARA HSBC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,0.88,152.05,2.61,140.39,8.3,4,65,9,67,-2.99,DetailedReportofNB (1).xls,2022-02-01,CANARA HSBC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,298.12,2447.14,186.99,1930.69,26.75,18900,148232,18179,151511,-2.16,DetailedReportofNB (1).xls,2022-02-01,CANARA HSBC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,3.8,25.72,0.2,5.87,338.44,3134,4713,1979,4387,7.43,DetailedReportofNB (1).xls,2022-02-01,EDELWEISS LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,41.3,325.27,41.13,322.39,0.89,5267,49008,6643,63694,-23.06,DetailedReportofNB (1).xls,2022-02-01,EDELWEISS LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,2.38,24.16,2.07,12.47,93.79,-3,-3,0,0,0.0,DetailedReportofNB (1).xls,2022-02-01,EDELWEISS LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.0,0.0,0.15,2.86,-100.0,0,0,0,0,0.0,DetailedReportofNB (1).xls,2022-02-01,EDELWEISS LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,0.11,1.21,0.05,4.72,-74.36,1,7,1,29,-75.86,DetailedReportofNB (1).xls,2022-02-01,EDELWEISS LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,47.58,376.36,43.6,348.31,8.05,8399,53725,8623,68110,-21.12,DetailedReportofNB (1).xls,2022-02-01,EDELWEISS LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,7.91,124.59,10.25,76.76,62.31,106,1191,148,1098,8.47,DetailedReportofNB (1).xls,2022-02-01,EXIDE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,60.71,573.82,59.5,459.59,24.85,10818,106023,12917,123952,-14.46,DetailedReportofNB (1).xls,2022-02-01,EXIDE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,0.02,0.56,0.08,0.59,-6.19,0,0,0,0,0.0,DetailedReportofNB (1).xls,2022-02-01,EXIDE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,10.25,43.81,3.3,17.17,155.07,0,12,1,22,-45.45,DetailedReportofNB (1).xls,2022-02-01,EXIDE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,1.51,99.37,9.54,53.58,85.45,0,0,0,0,0.0,DetailedReportofNB (1).xls,2022-02-01,EXIDE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,80.4,842.14,82.66,607.7,38.58,10924,107226,13066,125072,-14.27,DetailedReportofNB (1).xls,2022-02-01,EXIDE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,0.21,3.83,0.28,2.64,44.78,10,145,18,130,11.54,DetailedReportofNB (1).xls,2022-02-01,GENERALI CENTRAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,26.01,228.96,35.97,249.47,-8.22,3517,31099,5225,43035,-27.74,DetailedReportofNB (1).xls,2022-02-01,GENERALI CENTRAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,1.34,20.4,12.05,59.0,-65.42,0,0,0,5,-100.0,DetailedReportofNB (1).xls,2022-02-01,GENERALI CENTRAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (1).xls,2022-02-01,GENERALI CENTRAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,5.44,101.21,23.32,72.46,39.68,0,20,2,25,-20.0,DetailedReportofNB (1).xls,2022-02-01,GENERALI CENTRAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,33.0,354.4,71.61,383.57,-7.6,3527,31264,5245,43195,-27.62,DetailedReportofNB (1).xls,2022-02-01,GENERALI CENTRAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,322.66,3464.38,270.94,3042.83,13.85,3873,40987,3574,35856,14.31,DetailedReportofNB (1).xls,2022-02-01,HDFC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,640.8,6618.61,591.85,5634.63,17.46,70881,747295,79224,809015,-7.63,DetailedReportofNB (1).xls,2022-02-01,HDFC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,1067.8,10713.46,988.3,8361.49,28.13,22,127,17,151,-15.89,DetailedReportofNB (1).xls,2022-02-01,HDFC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (1).xls,2022-02-01,HDFC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,45.22,340.28,44.85,212.23,60.34,1,49,9,75,-34.67,DetailedReportofNB (1).xls,2022-02-01,HDFC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,2076.48,21136.73,1895.94,17251.18,22.52,74777,788458,82824,845097,-6.7,DetailedReportofNB (1).xls,2022-02-01,HDFC LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,297.64,2963.86,437.05,2231.72,32.81,3188,30346,3911,23903,26.95,DetailedReportofNB (1).xls,2022-02-01,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,552.37,5044.57,580.9,4283.3,17.77,53639,533197,61742,542441,-1.7,DetailedReportofNB (1).xls,2022-02-01,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,291.86,2523.59,287.91,1853.05,36.19,16,114,2,71,60.56,DetailedReportofNB (1).xls,2022-02-01,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.01,0.25,0.02,0.02,926.44,0,0,1,1,-100.0,DetailedReportofNB (1).xls,2022-02-01,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,198.35,2312.5,431.15,2506.99,-7.76,54,1022,256,2516,-59.38,DetailedReportofNB (1).xls,2022-02-01,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,1340.22,12844.77,1737.03,10875.07,18.11,56897,564679,65912,568932,-0.75,DetailedReportofNB (1).xls,2022-02-01,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,14.55,84.6,3.79,29.04,191.31,346,1963,133,1197,63.99,DetailedReportofNB (1).xls,2022-02-01,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,126.09,1121.61,116.68,717.58,56.3,26290,226057,24237,167402,35.04,DetailedReportofNB (1).xls,2022-02-01,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,70.58,1101.46,64.99,951.73,15.73,11,248,18,176,40.91,DetailedReportofNB (1).xls,2022-02-01,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.03,0.47,0.04,0.45,2.58,0,0,0,3,-100.0,DetailedReportofNB (1).xls,2022-02-01,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (1).xls,2022-02-01,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,211.25,2308.14,185.5,1698.81,35.87,26647,228268,24388,168778,35.25,DetailedReportofNB (1).xls,2022-02-01,INDIAFIRST LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,3.01,39.99,4.21,46.88,-14.7,93,1266,144,1379,-8.19,DetailedReportofNB (1).xls,2022-02-01,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,83.04,804.48,87.04,748.78,7.44,13837,136088,17100,164077,-17.06,DetailedReportofNB (1).xls,2022-02-01,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (1).xls,2022-02-01,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,49.32,251.32,10.3,106.32,136.37,8,42,4,28,50.0,DetailedReportofNB (1).xls,2022-02-01,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,0.28,24.36,0.84,9.9,145.97,7,60,7,52,15.38,DetailedReportofNB (1).xls,2022-02-01,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,135.65,1120.15,102.39,911.89,22.84,13945,137456,17255,165536,-16.96,DetailedReportofNB (1).xls,2022-02-01,INDUSIND NIPPON LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,133.51,1004.9,177.44,951.71,5.59,6572,39951,3770,35165,13.61,DetailedReportofNB (1).xls,2022-02-01,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,203.02,1487.1,204.08,1288.54,15.41,27286,224295,30000,238816,-6.08,DetailedReportofNB (1).xls,2022-02-01,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,191.37,1390.76,146.18,812.74,71.12,11,82,20,181,-54.7,DetailedReportofNB (1).xls,2022-02-01,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.59,3.73,0.04,0.53,606.84,3,14,2,16,-12.5,DetailedReportofNB (1).xls,2022-02-01,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,43.71,883.68,112.53,928.37,-4.81,27,473,50,583,-18.87,DetailedReportofNB (1).xls,2022-02-01,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,572.21,4770.17,640.26,3981.89,19.8,33899,264815,33842,274761,-3.62,DetailedReportofNB (1).xls,2022-02-01,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,11.77,120.94,12.03,89.57,35.03,164,1758,202,1341,31.1,DetailedReportofNB (1).xls,2022-02-01,PNB METLIFE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,184.02,1396.33,142.0,1140.19,22.46,23654,216365,22315,207996,4.02,DetailedReportofNB (1).xls,2022-02-01,PNB METLIFE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,41.59,377.3,56.21,307.29,22.79,2,5,0,1,400.0,DetailedReportofNB (1).xls,2022-02-01,PNB METLIFE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.7,1.67,0.06,0.62,170.34,5,93,13,152,-38.82,DetailedReportofNB (1).xls,2022-02-01,PNB METLIFE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,11.48,117.02,13.02,60.14,94.58,0,0,0,0,0.0,DetailedReportofNB (1).xls,2022-02-01,PNB METLIFE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,249.57,2013.26,223.31,1597.8,26.0,23825,218221,22530,209490,4.17,DetailedReportofNB (1).xls,2022-02-01,PNB METLIFE LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,0.76,5.48,0.08,1.77,208.87,11,102,3,2022,-94.96,DetailedReportofNB (1).xls,2022-02-01,PRAMERICA LIFE INSURANCE LIMITED.,Private,0,0
Individual Non Single Premium,9.67,102.1,8.5,101.19,0.9,2848,24600,2903,24261,1.4,DetailedReportofNB (1).xls,2022-02-01,PRAMERICA LIFE INSURANCE LIMITED.,Private,0,0
Group Single Premium,13.16,103.74,13.36,75.31,37.76,7,22,0,11,100.0,DetailedReportofNB (1).xls,2022-02-01,PRAMERICA LIFE INSURANCE LIMITED.,Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (1).xls,2022-02-01,PRAMERICA LIFE INSURANCE LIMITED.,Private,0,0
Group Yearly Renewable Premium,4.36,45.99,1.23,23.6,94.87,6,111,11,186,-40.32,DetailedReportofNB (1).xls,2022-02-01,PRAMERICA LIFE INSURANCE LIMITED.,Private,0,0
Total,27.96,257.31,23.18,201.87,27.46,2872,24835,2917,26480,-6.21,DetailedReportofNB (1).xls,2022-02-01,PRAMERICA LIFE INSURANCE LIMITED.,Private,0,0
Individual Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (1).xls,2022-02-01,SAHARA INDIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (1).xls,2022-02-01,SAHARA INDIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (1).xls,2022-02-01,SAHARA INDIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (1).xls,2022-02-01,SAHARA INDIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (1).xls,2022-02-01,SAHARA INDIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (1).xls,2022-02-01,SAHARA INDIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,391.99,3563.55,265.31,2212.34,61.08,9167,85944,5237,42048,104.39,DetailedReportofNB (1).xls,2022-02-01,SBI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,910.27,10958.93,919.98,8500.48,28.92,154586,1571971,145974,1380449,13.87,DetailedReportofNB (1).xls,2022-02-01,SBI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,504.31,7692.39,548.43,7033.75,9.36,6,134,18,149,-10.07,DetailedReportofNB (1).xls,2022-02-01,SBI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,4.83,26.06,0.51,14.34,81.73,0,0,0,2,-100.0,DetailedReportofNB (1).xls,2022-02-01,SBI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,60.32,372.42,16.5,303.4,22.75,24,122,10,302,-59.6,DetailedReportofNB (1).xls,2022-02-01,SBI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,1871.73,22613.36,1750.73,18064.31,25.18,163783,1658171,151239,1422950,16.53,DetailedReportofNB (1).xls,2022-02-01,SBI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,3.84,58.02,4.33,46.91,23.69,688,7797,141,1330,486.24,DetailedReportofNB (1).xls,2022-02-01,SHRIRAM LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,36.77,406.78,42.71,400.87,1.47,21220,207583,27178,233937,-11.27,DetailedReportofNB (1).xls,2022-02-01,SHRIRAM LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,29.56,227.16,37.79,153.36,48.12,0,3,0,3,0.0,DetailedReportofNB (1).xls,2022-02-01,SHRIRAM LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,DetailedReportofNB (1).xls,2022-02-01,SHRIRAM LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,2.24,81.14,15.07,100.36,-19.16,0,68,20,118,-42.37,DetailedReportofNB (1).xls,2022-02-01,SHRIRAM LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,72.42,773.1,99.89,701.51,10.2,21908,215451,27339,235388,-8.47,DetailedReportofNB (1).xls,2022-02-01,SHRIRAM LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,14.08,132.07,21.69,178.82,-26.14,286,2622,438,3309,-20.76,DetailedReportofNB (1).xls,2022-02-01,STAR UNION DAI-ICHI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,116.59,882.15,82.41,559.81,57.58,14418,111283,12206,81807,36.03,DetailedReportofNB (1).xls,2022-02-01,STAR UNION DAI-ICHI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,26.34,202.21,22.87,131.98,53.22,0,3,0,2,50.0,DetailedReportofNB (1).xls,2022-02-01,STAR UNION DAI-ICHI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.0,0.06,0.02,1.04,-94.24,0,0,0,0,0.0,DetailedReportofNB (1).xls,2022-02-01,STAR UNION DAI-ICHI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,112.57,491.16,14.49,107.19,358.21,4,52,2,16,225.0,DetailedReportofNB (1).xls,2022-02-01,STAR UNION DAI-ICHI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,269.58,1707.65,141.48,978.84,74.46,14708,113960,12646,85134,33.86,DetailedReportofNB (1).xls,2022-02-01,STAR UNION DAI-ICHI LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Single Premium,72.01,511.52,28.83,544.89,-6.12,686,5026,266,3451,45.64,DetailedReportofNB (1).xls,2022-02-01,TATA AIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Individual Non Single Premium,386.95,3529.35,311.9,2650.41,33.16,49616,436060,41280,375885,16.01,DetailedReportofNB (1).xls,2022-02-01,TATA AIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Single Premium,13.66,87.49,4.75,25.49,243.23,1,3,0,1,200.0,DetailedReportofNB (1).xls,2022-02-01,TATA AIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Non Single Premium,0.27,3.5,3.12,48.54,-92.78,0,12,1,44,-72.73,DetailedReportofNB (1).xls,2022-02-01,TATA AIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Group Yearly Renewable Premium,23.49,184.59,5.52,83.57,120.87,29,249,35,269,-7.43,DetailedReportofNB (1).xls,2022-02-01,TATA AIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
Total,496.39,4316.46,354.12,3352.9,28.74,50332,441350,41582,379650,16.25,DetailedReportofNB (1).xls,2022-02-01,TATA AIA LIFE INSURANCE COMPANY LIMITED,Private,0,0
